relation_index,source,target,type,strength,evidence,evidence_level,ai_pre_review_status,clinician_decision,clinician_id,clinician_role,review_date,rationale,approved_wording,forbidden_wording,signoff
283,disease:hypertension,evidence_source:hypertension_curated_01,supportive_evidence,high,registry:hypertension_curated_01#高血压老年人证据摘要：定义与老年特点,authoritative_guidance,,,,,,,,,
284,disease:hypertension,evidence_source:hypertension_curated_02,supportive_evidence,high,registry:hypertension_curated_02#高血压老年人证据摘要：家庭测量与复测,professional_guideline,,,,,,,,,
288,disease:hypertension,evidence_source:hypertension_curated_06,supportive_evidence,high,registry:hypertension_curated_06#高血压老年人证据摘要：系统综述与预测因素,professional_statement,,,,,,,,,
289,disease:hypertension,evidence_source:hypertension_curated_07,supportive_evidence,high,registry:hypertension_curated_07#高血压老年人证据摘要：关键随机试验,authoritative_guidance,,,,,,,,,
290,disease:diabetes,evidence_source:diabetes_curated_01,supportive_evidence,high,registry:diabetes_curated_01#2型糖尿病老年人证据摘要：定义与老年特点,authoritative_guidance,,,,,,,,,
291,disease:diabetes,evidence_source:diabetes_curated_02,supportive_evidence,high,registry:diabetes_curated_02#2型糖尿病老年人证据摘要：空腹与餐后血糖,professional_guideline,,,,,,,,,
295,disease:diabetes,evidence_source:diabetes_curated_06,supportive_evidence,high,registry:diabetes_curated_06#2型糖尿病老年人证据摘要：系统综述与预测因素,professional_statement,,,,,,,,,
296,disease:diabetes,evidence_source:diabetes_curated_07,supportive_evidence,high,registry:diabetes_curated_07#2型糖尿病老年人证据摘要：关键随机试验,authoritative_guidance,,,,,,,,,
297,disease:cardiovascular,evidence_source:cardiovascular_curated_01,supportive_evidence,high,registry:cardiovascular_curated_01#心血管疾病老年人证据摘要：共同危险因素,authoritative_guidance,,,,,,,,,
298,disease:cardiovascular,evidence_source:cardiovascular_curated_02,supportive_evidence,high,registry:cardiovascular_curated_02#心血管疾病老年人证据摘要：血脂与血压,professional_guideline,,,,,,,,,
302,disease:cardiovascular,evidence_source:cardiovascular_curated_06,supportive_evidence,high,registry:cardiovascular_curated_06#心血管疾病老年人证据摘要：系统综述与预测因素,professional_statement,,,,,,,,,
303,disease:cardiovascular,evidence_source:cardiovascular_curated_07,supportive_evidence,high,registry:cardiovascular_curated_07#心血管疾病老年人证据摘要：关键随机试验,authoritative_guidance,,,,,,,,,
304,disease:stroke,evidence_source:stroke_curated_01,supportive_evidence,high,registry:stroke_curated_01#脑卒中老年人证据摘要：一级预防,authoritative_guidance,,,,,,,,,
305,disease:stroke,evidence_source:stroke_curated_02,supportive_evidence,high,registry:stroke_curated_02#脑卒中老年人证据摘要：血压与卒中,professional_guideline,,,,,,,,,
309,disease:stroke,evidence_source:stroke_curated_06,supportive_evidence,high,registry:stroke_curated_06#脑卒中老年人证据摘要：系统综述与预测因素,professional_statement,,,,,,,,,
310,disease:stroke,evidence_source:stroke_curated_07,supportive_evidence,high,registry:stroke_curated_07#脑卒中老年人证据摘要：关键随机试验,authoritative_guidance,,,,,,,,,
